Status,Property SubType,Address,List Price,Cross street,Beds,Full baths,Half baths,Living area (ft²),Price / ft²,Year Built,Close Date,Close Price,Availability date,Garage spaces,Zip code,Lot size acres,Original list Price,Contract Date,Sold Price / ft²
"Closed","Single Family Residence","3621 Scott St","$4,100,000","Beach","4","3","0","2,895","$1,416","1927","05/31/2018","$4,100,000","","0","94123","0","$4,475,000","05/18/2018","$1,416"
"Closed","Single Family Residence","2427 Bay St","$5,500,000","Baker","4","3","0","2,955","$1,861","1929","03/17/2018","$5,500,000","","0","94123","0","$5,500,000","03/17/2018","$1,861"
"Closed","Single Family Residence","130 Alhambra","$2,450,000","Mallorca","3","2","0","2,115","$1,158","1925","03/13/2018","$2,450,000","","0","94123","0","$2,395,000","02/13/2018","$1,158"
"Canceled","Single Family Residence","2622 Chestnut St","$4,895,000","Lyon","5","4","1","4,005","$1,222","1925","","","","0","94123","","$5,195,000","","$1,222"
"Closed","Single Family Residence","2537 Chestnut St","$3,028,000","Divisadero","4","2","0","2,660","$1,138","1938","04/11/2018","$3,028,000","","0","94123","0","$2,695,000","03/21/2018","$1,138"
"Closed","Single Family Residence","31 Rico Way","$6,200,000","Retiro Way","4","3","1","4,004","$1,548","0","02/28/2018","$6,200,000","","0","94123","0","$6,200,000","02/07/2018","$1,548"
"Closed","Single Family Residence","245 Alhambra St","$4,421,000","Avila","4","3","1","2,895","$1,527","1924","02/16/2018","$4,421,000","","0","94123","","$4,395,000","02/01/2018","$1,527"
"Closed","Single Family Residence","47 Magnolia St","$3,900,000","Laguna and Buchanan","3","3","1","2,700","$1,444","1926","02/06/2018","$3,900,000","","0","94123","0","$3,495,000","01/22/2018","$1,444"
"Expired","Single Family Residence","2526 Francisco St","$5,188,000","Baker","5","4","1","3,945","$1,315","1927","","","","0","94123","0","$5,588,000","","$1,315"
"Closed","Single Family Residence","1256 Francisco St","$3,688,000","Franklin","9","3","1","5,081","$725","1925","01/05/2018","$3,688,000","","0","94123","0","$3,895,000","01/03/2018","$725"
"Closed","Single Family Residence","33 Capra Way","$2,605,000","Mallorca","3","2","1","2,110","$1,234","1926","10/13/2017","$2,605,000","","0","94123","0","$1,999,000","09/25/2017","$1,234"
"Closed","Single Family Residence","196 Avila St","$4,995,000","Capra","3","3","1","3,231","$1,545","0","10/19/2017","$4,995,000","","0","94123","0","$5,400,000","09/15/2017","$1,545"
"Closed","Single Family Residence","3235 Webster St","$3,375,000","Chestnut","3","2","0","2,460","$1,371","1935","10/18/2017","$3,375,000","","0","94123","0","$3,680,000","10/13/2017","$1,371"
"Closed","Single Family Residence","2028 Jefferson St","$2,807,000","Baker","3","2","1","2,106","$1,332","1930","07/27/2017","$2,807,000","","0","94123","0","$2,995,000","07/25/2017","$1,332"
"Closed","Single Family Residence","3239 Webster St","$4,400,000","Chestnut","3","3","1","2,720","$1,617","1935","07/14/2017","$4,400,000","","0","94123","0","$3,995,000","07/07/2017","$1,617"
"Closed","Single Family Residence","235 Mallorca Way","$3,000,000","Capra","3","3","0","2,253","$1,331","1937","05/15/2017","$3,000,000","","0","94123","0","$3,000,000","05/15/2017","$1,331"
"Closed","Single Family Residence","290 Avila St","$5,800,000","Beach Street","5","4","1","4,306","$1,346","0","05/26/2017","$5,800,000","","0","94123","","$5,695,000","05/26/2017","$1,346"
"Closed","Single Family Residence","3258 Lyon St","$2,910,000","Bay","3","3","0","2,078","$1,400","1927","05/02/2017","$2,910,000","","0","94123","0","$2,595,000","04/21/2017","$1,400"
"Closed","Single Family Residence","3742 Divisadero St","$2,625,000","Jefferson","3","2","0","2,300","$1,141","1927","05/12/2017","$2,625,000","","0","94123","0","$2,595,000","05/02/2017","$1,141"
"Expired","Single Family Residence","2526 Francisco St","$5,988,000","Baker","5","4","1","3,945","$1,517","1927","","","","0","94123","0","$5,988,000","","$1,517"
"Closed","Single Family Residence","2161 North Point St","$3,800,000","Divisadero/Scott","4","4","0","3,106","$1,223","1926","06/08/2017","$3,800,000","","0","94123","0","$3,295,000","06/01/2017","$1,223"
"Closed","Single Family Residence","2652 Chestnut St","$7,000,000","Lyon","5","6","0","4,870","$1,437","2014","06/06/2017","$7,000,000","","0","94123","0","$7,539,000","06/02/2017","$1,437"
"Closed","Single Family Residence","3724 Divisadero St","$3,700,000","Beach","3","2","0","2,090","$1,770","1926","05/24/2017","$3,700,000","","0","94123","0","$3,600,000","05/24/2017","$1,770"
"Closed","Single Family Residence","3107 Franklin St","$2,180,000","Francisco","3","2","0","2,145","$1,016","1922","05/17/2017","$2,180,000","","0","94123","0","$1,950,000","05/10/2017","$1,016"
"Expired","Single Family Residence","2140 Jefferson St","$8,000,000","Lyon Street","5","6","1","7,000","$1,142","1940","","","","0","94123","0","$9,250,000","","$1,142"
"Expired","Single Family Residence","87 Cervantes","$3,500,000","Fillmore","3","3","1","2,400","$1,458","0","","","","0","94123","0","$3,500,000","","$1,458"
"Closed","Single Family Residence","3166 Baker St","$2,800,000","Francisco","3","3","1","2,010","$1,393","1926","04/14/2017","$2,800,000","","0","94123","0","$2,750,000","04/07/2017","$1,393"
"Closed","Single Family Residence","39 Avila St","$3,445,000","Chestnut","3","3","0","2,465","$1,397","1925","04/15/2016","$3,445,000","","0","94123","","$3,495,000","04/08/2016","$1,397"
"Closed","Single Family Residence","3157 Baker St","$3,260,000","Francisco","5","3","1","3,646","$894","2003","02/10/2017","$3,260,000","","0","94123","0","$3,690,000","02/03/2017","$894"
"Closed","Single Family Residence","2225 Bay St","$2,550,000","Divisadero","3","2","1","2,791","$913","1927","12/22/2016","$2,550,000","","0","94123","0","$2,688,000","12/22/2016","$913"
"Canceled","Single Family Residence","2652 Chestnut St","$7,539,000","Lyon","5","6","0","4,870","$1,548","2013","","","","0","94123","0","$7,539,000","","$1,548"
"Expired","Single Family Residence","2526 Francisco St","$6,200,000","Baker","5","4","1","3,945","$1,571","1927","","","","0","94123","0","$6,200,000","","$1,571"
"Canceled","Single Family Residence","3159 Baker St","$4,990,000","Francisco","6","4","0","4,680","$1,066","1927","","","","0","94123","0","$5,888,000","","$1,066"
"Closed","Single Family Residence","25 Rico Way","$4,998,000","Retiro Way","3","3","1","3,361","$1,487","2003","11/08/2016","$4,998,000","","0","94123","0","$4,998,000","10/22/2016","$1,487"
"Closed","Single Family Residence","2070 Beach St","$3,125,000","Divisadero","4","3","1","2,154","$1,450","1926","10/11/2016","$3,125,000","","0","94123","0","$2,625,000","09/18/2016","$1,450"
"Closed","Single Family Residence","3211 Baker St","$4,605,000","Francisco","4","3","1","3,260","$1,412","1928","08/26/2016","$4,605,000","","0","94123","","$4,500,000","08/13/2016","$1,412"
"Closed","Single Family Residence","63 Rico Way","$2,895,000","Retiro Way","3","2","0","2,145","$1,349","0","08/03/2016","$2,895,000","","0","94123","0","$2,895,000","08/03/2016","$1,349"
"Closed","Single Family Residence","3041 Baker St","$3,150,000","Lombard","3","2","0","2,916","$1,080","1924","08/01/2016","$3,150,000","","0","94123","0","$3,249,000","07/18/2016","$1,080"
"Canceled","Single Family Residence","2140 Jefferson St","$9,250,000","Lyon Street","5","6","1","7,000","$1,321","1940","","","","0","94123","0","$9,250,000","","$1,321"
"Closed","Single Family Residence","148 Alhambra St","$2,500,000","Pierce Street","3","3","1","2,250","$1,111","1925","08/03/2016","$2,500,000","","0","94123","0","$2,825,000","06/30/2016","$1,111"
"Closed","Single Family Residence","3600 Lyon St","$3,150,000","Marina Blvd","3","3","1","2,216","$1,421","1940","07/15/2016","$3,150,000","","0","94123","0","$3,499,000","07/13/2016","$1,421"
"Canceled","Single Family Residence","44 Mallorca","$6,995,000","Chestnut","5","5","1","4,867","$1,437","0","","","","0","94123","","$7,495,000","","$1,437"
"Expired","Single Family Residence","87 Cervantes Blvd","$2,995,000","Beach St.","3","3","1","2,415","$1,240","1925","","","","0","94123","0","$3,345,000","","$1,240"
"Canceled","Single Family Residence","1650 Bay St","$3,880,000","Buchanan","3","2","0","3,800","$1,021","1937","","","","0","94123","0","$3,880,000","","$1,021"
"Closed","Single Family Residence","3518 Webster St","$2,700,000","North Point","3","3","0","2,060","$1,310","1935","04/08/2016","$2,700,000","","0","94123","0","$2,650,000","03/31/2016","$1,310"
"Closed","Single Family Residence","2222 Bay St","$2,950,000","Divisadero","3","3","0","2,409","$1,224","1929","07/05/2016","$2,950,000","","0","94123","0","$2,995,000","06/18/2016","$1,224"
"Closed","Single Family Residence","3624 Scott St","$2,700,000","Beach","3","2","1","2,400","$1,125","0","05/31/2016","$2,700,000","","0","94123","","$2,895,000","05/06/2016","$1,125"
"Closed","Single Family Residence","2266 Bay St","$2,650,000","Broderick","3","3","0","2,600","$1,019","1968","04/18/2016","$2,650,000","","0","94123","0","$2,199,000","04/07/2016","$1,019"
"Closed","Single Family Residence","41 Rico Way","$3,650,000","Avila","4","4","0","3,000","$1,216","1926","03/23/2016","$3,650,000","","0","94123","","$4,000,000","03/18/2016","$1,216"
"Closed","Single Family Residence","133 Richardson Ave","$2,080,000","Chestnut","3","3","0","2,323","$895","1939","01/07/2016","$2,080,000","","0","94123","0","$2,300,000","12/21/2015","$895"
"Closed","Single Family Residence","3315 Pierce St","$2,500,000","Chestnut St","3","3","1","2,255","$1,108","1925","01/07/2016","$2,500,000","","0","94123","0","$2,699,000","12/23/2015","$1,108"
"Canceled","Single Family Residence","87 Cervantes Blvd","$2,995,000","Beach St.","4","4","1","2,800","$1,069","1925","","","","0","94123","0","$2,995,000","","$1,069"
"Closed","Single Family Residence","146 Avila St","$3,025,000","alhambra","3","2","1","2,100","$1,440","1924","12/24/2015","$3,025,000","","0","94123","0","$2,995,000","12/09/2015","$1,440"
"Closed","Single Family Residence","2146 Bay St","$7,100,000","Scott","4","5","1","4,774","$1,487","1925","11/24/2015","$7,100,000","","0","94123","0","$7,100,000","11/24/2015","$1,487"
"Closed","Single Family Residence","1745 North Point","$4,400,000","Webster","5","5","0","3,776","$1,165","0","05/29/2015","$4,400,000","","0","94123","0","$4,400,000","05/29/2015","$1,165"
"Closed","Single Family Residence","207 Avila St","$3,750,000","Capra Way","4","2","1","2,040","$1,838","1926","09/10/2015","$3,750,000","","0","94123","0","$2,900,000","09/02/2015","$1,838"
"Closed","Single Family Residence","2622 Chestnut St","$4,600,000","Lyon","5","4","1","4,210","$1,092","1925","06/17/2015","$4,600,000","","0","94123","0","$4,995,000","06/02/2015","$1,092"
"Closed","Single Family Residence","3741 Scott St","$3,400,000","Jefferson","3","3","1","2,655","$1,280","1926","06/15/2015","$3,400,000","","0","94123","0","$3,195,000","05/22/2015","$1,280"
"Closed","Single Family Residence","75 Rico Way","$3,825,000","Avila","4","3","0","3,017","$1,267","1931","04/07/2015","$3,825,000","","0","94123","","$3,595,000","04/02/2015","$1,267"
"Closed","Single Family Residence","135 Marina Blvd","$3,800,000","Webster","3","3","1","2,756","$1,378","1934","04/08/2015","$3,800,000","","0","94123","0","$3,349,000","03/25/2015","$1,378"
"Closed","Single Family Residence","3108 Franklin St","$2,975,000","Francisco","3","3","1","2,395","$1,242","1922","10/23/2014","$2,975,000","","0","94123","0","$2,698,000","09/22/2014","$1,242"
"Closed","Single Family Residence","3560 Baker St","$7,100,000","Jefferson","5","3","1","5,895","$1,204","1929","10/31/2014","$7,100,000","","0","94123","0","$6,900,000","10/02/2014","$1,204"
"Closed","Single Family Residence","2526 Francisco St","$3,800,000","Baker","5","4","1","3,945","$963","1927","10/01/2014","$3,800,000","","0","94123","0","$3,695,000","09/11/2014","$963"
"Closed","Single Family Residence","2159 Bay St","$5,445,000","Divisadero","5","4","0","4,500","$1,210","1927","09/16/2014","$5,445,000","","0","94123","0","$4,995,000","09/15/2014","$1,210"
"Closed","Single Family Residence","3456 Baker St","$4,650,000","Beach","4","3","1","3,140","$1,480","1927","08/13/2014","$4,650,000","","0","94123","","$4,500,000","08/07/2014","$1,480"
